date,day_month,moon,zodiac_astrology,p1,front3,back3,back2
16 กันยายน 2569,วันพุธ เดือนกันยายน,แรม 10 ค่ำ เดือน 10,ปีจอ / ราศีพฤษภ,730640,"060, 521","266, 041",64
1 กันยายน 2569,วันอังคาร เดือนกันยายน,แรม 10 ค่ำ เดือน 9 (หลัง),ปีจอ / ราศีสิงห์,417212,"257, 346","136, 740",04
16 สิงหาคม 2569,วันอาทิตย์ เดือนสิงหาคม,แรม 9 ค่ำ เดือน 9,ปีจอ / ราศีสิงห์,004615,"731, 429","937, 094",53
1 สิงหาคม 2569,วันเสาร์ เดือนสิงหาคม,แรม 13 ค่ำ เดือน 8,ปีจอ / ราศีกรกฎ,932479,"413, 672","154, 039",69
16 กรกฎาคม 2569,วันพฤหัสบดี เดือนกรกฎาคม,แรม 2 ค่ำ เดือน 8,ปีจอ / ราศีเมถุน,639214,"683, 709","746, 427",71
1 กรกฎาคม 2569,วันพุธ เดือนกรกฎาคม,แรม 2 ค่ำ เดือน 7,ปีจอ / ราศีเมถุน,751495,"001, 980","304, 531",62
16 มิถุนายน 2569,วันอังคาร เดือนมิถุนายน,แรม 2 ค่ำ เดือน 7,ปีจอ / ราศีเมถุน,287184,"758, 434","007, 721",48
1 มิถุนายน 2569,วันจันทร์ เดือนมิถุนายน,แรม 1 ค่ำ เดือน 6,ปีจอ / ราศีพฤษภ,173770,"848, 415","410, 938",95
16 พฤษภาคม 2569,วันเสาร์ เดือนพฤษภาคม,แรม 15 ค่ำ เดือน 6,ปีจอ / ราศีพฤษภ,510980,"311, 892","423, 801",80
2 พฤษภาคม 2569,วันเสาร์ เดือนพฤษภาคม,แรม 1 ค่ำ เดือน 6,ปีจอ / ราศีเมษ,628912,"142, 599","081, 749",12
16 เมษายน 2569,วันพฤหัสบดี เดือนเมษายน,แรม 14 ค่ำ เดือน 5,ปีจอ / ราศีเมษ,401823,"523, 104","671, 290",23
1 เมษายน 2569,วันพุธ เดือนเมษายน,แรม 14 ค่ำ เดือน 4,ปีจอ / ราศีมีน,912345,"111, 222","333, 444",45
16 มีนาคม 2569,วันจันทร์ เดือนมีนาคม,แรม 13 ค่ำ เดือน 4,ปีจอ / ราศีมีน,882142,"605, 912","102, 533",42
1 มีนาคม 2569,วันอาทิตย์ เดือนมีนาคม,แรม 12 ค่ำ เดือน 3,ปีจอ / ราศีกุมภ์,104921,"492, 103","501, 892",21
16 กุมภาพันธ์ 2569,วันจันทร์ เดือนกุมภาพันธ์,แรม 14 ค่ำ เดือน 3,ปีจอ / ราศีกุมภ์,349120,"891, 021","345, 672",20
1 กุมภาพันธ์ 2569,วันอาทิตย์ เดือนกุมภาพันธ์,แรม 15 ค่ำ เดือน 2,ปีจอ / ราศีมังกร,519012,"301, 492","001, 831",12
17 มกราคม 2569,วันเสาร์ เดือนมกราคม,แรม 14 ค่ำ เดือน 2,ปีจอ / ราศีมังกร,928103,"401, 291","051, 629",03
